Title,Price,Description,Source Page,URL,Scraped At
A Light in the Attic,Â£51.77,Rating: Three,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-07-31 04:42:56
Tipping the Velvet,Â£53.74,Rating: One,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-07-31 04:42:56
Soumission,Â£50.10,Rating: One,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/soumission_998/index.html,2026-07-31 04:42:56
Sharp Objects,Â£47.82,Rating: Four,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-07-31 04:42:56
Sapiens: A Brief History of Humankind,Â£54.23,Rating: Five,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-07-31 04:42:56
The Requiem Red,Â£22.65,Rating: One,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-07-31 04:42:56
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Rating: Four,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-07-31 04:42:56
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Rating: Three,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-07-31 04:42:56
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Rating: Four,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-07-31 04:42:56
The Black Maria,Â£52.15,Rating: One,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-07-31 04:42:56
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Rating: Two,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-07-31 04:42:56
Shakespeare's Sonnets,Â£20.66,Rating: Four,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2026-07-31 04:42:56
Set Me Free,Â£17.46,Rating: Five,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/set-me-free_988/index.html,2026-07-31 04:42:56
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Rating: Five,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-07-31 04:42:56
Rip it Up and Start Again,Â£35.02,Rating: Five,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2026-07-31 04:42:56
