title,raw_price,numeric_price,description,source_page,item_url
A Light in the Attic,£51.77,51.77,It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry and drawings from Shel ...,https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
In Her Wake,£12.84,12.84,A perfect life … until she discovered it wasn’t her own.A tragic family event reveals devastating news that rips apart B...,https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Tipping the Velvet,£53.74,53.74,"""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King, an oyster girl, is ca...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
How Music Works,£37.32,37.32,How Music Works is David Byrne’s remarkable and buoyant celebration of a subject he has spent a lifetime thinking about....,https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/how-music-works_979/index.html
Soumission,£50.10,50.1,"Dans une France assez proche de la nôtre, un homme s’engage dans la carrière universitaire. Peu motivé par l’enseignemen...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/soumission_998/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,30.52,Canning perfected the America’s Test Kitchen way. The art of preserving produce by canning and preserving has come full ...,https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Sharp Objects,£47.82,47.82,"WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille Preaker’s troubled past. F...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,£54.23,54.23,From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bests...,https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
Chase Me (Paris Nights #2),£25.27,25.27,"A Michelin two-star chef at twenty-eight, Violette Lenoir could handle anything, including a cocky burglar who broke int...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,£34.53,34.53,"No matter how busy he keeps himself, successful Broadway musician Tobias Spence can’t outrun the memory of a tragic car ...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/black-dust_976/index.html
The Requiem Red,£22.65,22.65,Patient Twenty-nine.A monster roams the halls of Soothing Hills Asylum. Three girls dead. 29 is endowed with the curse…o...,https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
Birdsong: A Story in Pictures,£54.64,54.64,"Bring the thrilling story of one red bird to life. When an innocent bird meets two cruel kids, their world is forever ch...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
The Dirty Little Secrets of Getting Your Dream Job,£33.34,33.34,"Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,17.93,"""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in love with Victoria Woodhul...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,22.5,"Any fan of the Baltimore Colts of my era, any fan of my friend and teammate Johnny Unitas, or, for that matter, any fan ...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,22.6,"For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowing team that stunned ...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
Aladdin and His Wonderful Lamp,£53.13,53.13,"Planning on seeing Aladdin the Disney musical? Read the classic story of ""Aladdin and his Wonderful Lamp"" in this sparkl...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
The Black Maria,£52.15,52.15,"Praise for Aracelis Girmay:""[Girmay's] every loss—she calls them estrangements—is a yearning for connection across time ...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,40.3,"Anti-apartheid activist, Bollywood screenwriter, Nazi pin-up, hero of the Wild West: this is Shakespeare as you have nev...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,13.99,"Since her assault, Miss Annette Chetwynd has been plagued by nightmares and worries about an arranged marriage. But she ...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Wall and Piece,£44.18,44.18,"Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and bridges of towns and citie...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
Shakespeare's Sonnets,£20.66,20.66,This book is an important and complete collection of the Sonnets of William Shakespeare. Most readers are aware of the g...,https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,17.66,"In The Four Agreements, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needle...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
Set Me Free,£17.46,17.46,"Aaron Ledbetter’s future had been planned out for him since before he was born. Each year, the Ledbetter family vacation...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/set-me-free_988/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,31.05,"Are you and your spouse speaking the same language? While love is a many splendored thing, it is sometimes a very confus...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,52.29,"Scott Pilgrim's life is totally sweet. He's 23 years old, he's in a rockband, he's ""between jobs"" and he's dating a cute...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
The Elephant Tree,£23.82,23.82,Mark Fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclu...,https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
Rip it Up and Start Again,£35.02,35.02,"Punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. RIP IT UP AND S...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
The Bear and the Piano,£36.89,36.89,"One day, a young bear stumbles upon something he has never seen before in the forest. As time passes, he teaches himself...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,57.25,This is the never-before-told story of the musical revolution that happened right under the nose of the Reagan Eighties-...,https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Sophie's World,£15.94,15.94,"A page-turning novel that is also an exploration of the great philosophical concepts of Western thought, Sophie’s World ...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Olio,£23.88,23.88,"Part fact, part fiction, Tyehimba Jess's much anticipated second book weaves sonnet, song, and narrative to examine the ...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/olio_984/index.html
Penny Maybe,£33.29,33.29,"Sent to yet another foster family, Penny decides that the way to claim a sense of self is to swim Lake Ontario. Although...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,37.59,"Andrew Barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the ear...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Maude (1883-1993):She Grew Up with the country,£18.02,18.02,"This new edition of Maude (1883-1993) has been updated by Mardo Williams’ daughters, adding historical details their dad...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
Libertarianism for Beginners,£51.33,51.33,"Libertarianism isn't about winning elections; it is first and foremost a political philosophy--a description of how, in ...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
